Education,Education-Num,Matrital-Status,Native-Country,Occupation,Race,Relationship,Sex,Workclass,Age,Capital-Gain,Capital-Loss,Fnlwgt,Hours-Per-Week,Number of Records
10th,6,Divorced,United-States,?,Amer-Indian-Eskimo,Not-in-family,Female,?,60,0,0,24215,10,1
Some-college,10,Divorced,United-States,?,Amer-Indian-Eskimo,Not-in-family,Female,?,35,0,0,124836,36,1
Some-college,10,Divorced,United-States,?,Amer-Indian-Eskimo,Not-in-family,Female,?,47,0,0,89806,35,1
Assoc-voc,11,Divorced,United-States,Craft-repair,Amer-Indian-Eskimo,Not-in-family,Female,Federal-gov,46,0,0,199725,60,1
Some-college,10,Divorced,United-States,Prof-specialty,Amer-Indian-Eskimo,Not-in-family,Female,Federal-gov,60,0,0,21876,40,1
HS-grad,9,Divorced,United-States,Adm-clerical,Amer-Indian-Eskimo,Not-in-family,Female,Local-gov,25,0,0,44216,35,1
Some-college,10,Divorced,United-States,Exec-managerial,Amer-Indian-Eskimo,Not-in-family,Female,Local-gov,55,0,0,223716,40,1
Masters,14,Divorced,United-States,Prof-specialty,Amer-Indian-Eskimo,Not-in-family,Female,Local-gov,50,0,0,220640,50,1
10th,6,Divorced,United-States,Exec-managerial,Amer-Indian-Eskimo,Not-in-family,Female,Private,47,0,0,24723,45,1
HS-grad,9,Divorced,United-States,Exec-managerial,Amer-Indian-Eskimo,Not-in-family,Female,Private,24,0,0,336088,50,1
HS-grad,9,Divorced,United-States,Exec-managerial,Amer-Indian-Eskimo,Not-in-family,Female,Private,47,3325,0,184005,45,1
Some-college,10,Divorced,United-States,Handlers-cleaners,Amer-Indian-Eskimo,Not-in-family,Female,Private,40,0,0,20109,84,1
HS-grad,9,Divorced,United-States,Machine-op-inspct,Amer-Indian-Eskimo,Not-in-family,Female,Private,50,0,0,150975,40,1
Assoc-voc,11,Divorced,Columbia,Other-service,Amer-Indian-Eskimo,Not-in-family,Female,Private,39,0,0,89419,40,1
HS-grad,9,Divorced,United-States,Sales,Amer-Indian-Eskimo,Not-in-family,Female,Private,29,0,0,29865,50,1
Assoc-voc,11,Divorced,United-States,Sales,Amer-Indian-Eskimo,Not-in-family,Female,Private,31,0,0,87950,40,1
Some-college,10,Divorced,United-States,Tech-support,Amer-Indian-Eskimo,Not-in-family,Female,Private,37,0,0,163199,40,1
Some-college,10,Divorced,United-States,Exec-managerial,Amer-Indian-Eskimo,Not-in-family,Female,Self-emp-not-inc,49,0,0,162856,40,1
Some-college,10,Never-married,United-States,?,Amer-Indian-Eskimo,Not-in-family,Female,?,25,0,0,12285,20,1
Assoc-voc,11,Never-married,United-States,?,Amer-Indian-Eskimo,Not-in-family,Female,?,23,0,0,55492,30,1
Bachelors,13,Never-married,United-States,Prof-specialty,Amer-Indian-Eskimo,Not-in-family,Female,Federal-gov,51,0,0,40808,43,1
Doctorate,16,Never-married,United-States,Prof-specialty,Amer-Indian-Eskimo,Not-in-family,Female,Federal-gov,35,0,0,103214,60,1
1st-4th,2,Never-married,United-States,Other-service,Amer-Indian-Eskimo,Not-in-family,Female,Local-gov,46,0,0,197988,20,1
Bachelors,13,Never-married,United-States,Prof-specialty,Amer-Indian-Eskimo,Not-in-family,Female,Local-gov,27,3325,0,66824,43,1
HS-grad,9,Never-married,United-States,Adm-clerical,Amer-Indian-Eskimo,Not-in-family,Female,Private,22,0,0,216984,40,1
HS-grad,9,Never-married,United-States,Adm-clerical,Amer-Indian-Eskimo,Not-in-family,Female,Private,27,0,0,221252,8,1
Some-college,10,Never-married,United-States,Adm-clerical,Amer-Indian-Eskimo,Not-in-family,Female,Private,25,0,0,267044,20,1
HS-grad,9,Never-married,United-States,Prof-specialty,Amer-Indian-Eskimo,Not-in-family,Female,Private,28,0,0,25684,40,1
Bachelors,13,Never-married,United-States,Prof-specialty,Amer-Indian-Eskimo,Not-in-family,Female,Private,22,14344,0,233955,40,1
Some-college,10,Never-married,United-States,Sales,Amer-Indian-Eskimo,Not-in-family,Female,Private,35,0,0,153790,40,1
9th,5,Separated,United-States,?,Amer-Indian-Eskimo,Not-in-family,Female,?,48,0,0,61985,20,1
HS-grad,9,Separated,United-States,Sales,Amer-Indian-Eskimo,Not-in-family,Female,Private,57,0,0,29375,35,1
Some-college,10,Separated,United-States,Sales,Amer-Indian-Eskimo,Not-in-family,Female,Private,40,0,0,310101,40,1
Some-college,10,Separated,United-States,Transport-moving,Amer-Indian-Eskimo,Not-in-family,Female,Private,60,0,0,24872,30,1
Bachelors,13,Widowed,United-States,?,Amer-Indian-Eskimo,Not-in-family,Female,?,63,0,0,445168,56,1
Some-college,10,Widowed,United-States,Exec-managerial,Amer-Indian-Eskimo,Not-in-family,Female,Private,42,0,0,86185,40,1
7th-8th,4,Widowed,United-States,Machine-op-inspct,Amer-Indian-Eskimo,Not-in-family,Female,Private,51,0,0,251487,40,1
Assoc-voc,11,Widowed,United-States,Exec-managerial,Amer-Indian-Eskimo,Not-in-family,Female,State-gov,55,0,0,26290,38,1
HS-grad,9,Divorced,United-States,Adm-clerical,Amer-Indian-Eskimo,Other-relative,Female,Private,56,0,0,101436,35,1
HS-grad,9,Never-married,United-States,?,Amer-Indian-Eskimo,Other-relative,Female,?,24,0,0,26671,40,1
Some-college,10,Never-married,United-States,?,Amer-Indian-Eskimo,Other-relative,Female,?,19,0,0,33487,40,1
HS-grad,9,Never-married,United-States,Other-service,Amer-Indian-Eskimo,Other-relative,Female,Private,33,0,0,110998,36,1
11th,7,Never-married,United-States,Sales,Amer-Indian-Eskimo,Other-relative,Female,Private,18,0,0,40829,25,1
Assoc-voc,11,Divorced,United-States,Exec-managerial,Amer-Indian-Eskimo,Own-child,Female,Private,42,0,0,134220,40,1
HS-grad,9,Married-civ-spouse,United-States,Adm-clerical,Amer-Indian-Eskimo,Own-child,Female,Private,30,0,0,60426,40,1
Bachelors,13,Married-civ-spouse,United-States,Adm-clerical,Amer-Indian-Eskimo,Own-child,Female,Private,22,2885,0,31387,25,1
Some-college,10,Never-married,United-States,Adm-clerical,Amer-Indian-Eskimo,Own-child,Female,Local-gov,31,0,0,50442,25,1
Some-college,10,Never-married,United-States,Adm-clerical,Amer-Indian-Eskimo,Own-child,Female,Local-gov,38,0,0,84570,40,1
Assoc-acdm,12,Never-married,United-States,Adm-clerical,Amer-Indian-Eskimo,Own-child,Female,Local-gov,31,0,0,151726,40,1
HS-grad,9,Never-married,United-States,Exec-managerial,Amer-Indian-Eskimo,Own-child,Female,Local-gov,39,0,0,67187,40,1
Some-college,10,Never-married,United-States,Exec-managerial,Amer-Indian-Eskimo,Own-child,Female,Local-gov,31,0,0,50442,32,1
11th,7,Never-married,South,Adm-clerical,Amer-Indian-Eskimo,Own-child,Female,Private,19,0,0,126501,15,1
